id,date,attending,name,img,club_id
1285011.0,2019-07-06,10,Ondes Étranges: Brainwaves Crew & OCB (Casa Voyager),2019/7/fr-0706-1285011-list.jpg,56128.0
1284611.0,2019-07-05,2,oto Spectacles: Dj Sundae x Superlate x Theorama,2019/7/fr-0705-1284611-list.jpg,56128.0
1275971.0,2019-06-22,1,Plastic Bamboo & Friends,2019/6/fr-0622-1275971-list.jpg,56128.0
1277667.0,2019-06-15,9,"Attrape Rave Final - Les Yeux Orange, Soeurs Malsaines, Hors-SOL",2019/6/fr-0615-1277667-list.jpg,56128.0
1275965.0,2019-06-14,1,"Frogus Magnus, Life Under the Reign of.",2019/6/fr-0614-1275965-list.jpg,56128.0
1275963.0,2019-06-13,2,Opening Night,2019/6/fr-0613-1275963-list.jpg,56128.0
1275961.0,2019-06-07,1,Bring the Nose ! Avec Rick Shiver,2019/6/fr-0607-1275961-list.jpg,56128.0
1264903.0,2019-05-29,36,No Fist No Chouille - Increase the Groove & Soeurs Malsaines,2019/5/fr-0529-1264903-list.jpg,56128.0
1260838.0,2019-05-18,4,Les Yeux Orange All Night Long,2019/5/fr-0518-1260838-list.jpg,56128.0
1260834.0,2019-05-17,2,Aurèle & Friends with Vito Mamie's & Hyas,2019/5/fr-0517-1260834-list.jpg,56128.0
1260823.0,2019-05-11,3,Beurette Sound Power: Belec & Beurette Sentimentale,2019/5/fr-0511-1260823-list.jpg,56128.0
1250274.0,2019-05-10,21,"La Tudobem with Casper Tielrooij (Dekmantel Soundsystem), Romain Play & Benedetta, Maggie",2019/5/fr-0510-1250274-list.jpg,56128.0
1260821.0,2019-05-04,1,Cinquante - Cinquante: Azamat B,2019/5/fr-0504-1260821-list.jpg,56128.0
1244707.0,2019-04-06,2,"5 Years of [re]sources Avec Tommy Kid, Dehousy, Mamboussa & More",dj/dehousy-list.jpg,56128.0
1241121.0,2019-03-29,2,Plaisir Partagé: Club Z1z1 - Maxi Fischer - Master Phil,2019/3/fr-0329-1241121-list.jpg,56128.0
1232047.0,2019-03-22,3,Club Trax: Inasound Festival OFF,2019/3/fr-0322-1232047-list.jpg,56128.0
1213099.0,2019-02-15,7,Club Trax: Ro Mania - La Nouvelle Scène Électronique Roumaine,2019/2/fr-0215-1213099-list.jpg,56128.0
1203915.0,2019-01-19,2,Sample Delivery & Friends ,2019/1/fr-0119-1203915-list.jpg,56128.0
1328454.0,2019-10-12,6,Boris Brejcha ,2019/10/fr-1012-1328454-list.jpg,32968.0
1152463.0,2019-02-22,18,Nils Frahm,2019/2/fr-0222-1152463-list.jpg,32968.0
1353974.0,2019-12-31,62,Sacré Nouvel an HORS-SOL,2019/12/fr-1231-1353974-list.jpg,165069.0
1352334.0,2019-12-28,5,Sacré House Of Underground & Dj Suspect,2019/12/fr-1228-1352334-list.jpg,165069.0
1366198.0,2019-12-27,1,Sacré After-Christmas Party,2019/12/fr-1227-1366198-list.jpg,165069.0
1329374.0,2019-12-21,11,Sacré Neet Invite Linkwood,dj/linkwood-list.jpg,165069.0
1329372.0,2019-12-20,7,Sacré Flabaire Invite Isolée Live,dj/isolee-list.jpg,165069.0
1349011.0,2019-12-13,1,Sacré Marzattack & Groove Boys Project,dj/grooveboysproject-list.jpg,165069.0
1349009.0,2019-12-07,3,Sacré Motown Party 16 ans,dj/djreverendp-list.jpg,165069.0
1329370.0,2019-12-06,10,Sacré Jovonn et Paul Cut,dj/jovonn-list.jpg,165069.0
1329368.0,2019-11-30,37,Sacré COEO,dj/coeo-list.jpg,165069.0
1329367.0,2019-11-29,6,Sacré Bawrut et Slowciety,dj/bawrut-list.jpg,165069.0
1329362.0,2019-11-23,10,Sacré Okain et Varoslav,dj/okain-list.jpg,165069.0
1288502.0,2019-11-22,35,Sacré Midland & Danielle,dj/midland-list.jpg,165069.0
1329360.0,2019-11-16,1,Sacré Idjut Boys et Funky French League,dj/idjutboys-list.jpg,165069.0
1329359.0,2019-11-15,4,Sacré Harri & Domenic et Young Pulse,dj/youngpulse-list.jpg,165069.0
1329356.0,2019-11-10,28,Sacré Omar S et Siler,dj/omars-list.jpg,165069.0
1329354.0,2019-11-09,57,Sacré Chaos in The Cbd,dj/chaosinthecbd-list.jpg,165069.0
1288503.0,2019-11-08,7,Sacré Man Power,dj/manpower-list.jpg,165069.0
1329352.0,2019-11-02,3,Sacré Motownparty,dj/djreverendp-list.jpg,165069.0
1329336.0,2019-11-01,15,Sacré Lindstrom Live & La Mverte,dj/lindstrom-list.jpg,165069.0
1329329.0,2019-10-31,8,Sacré La Minimalerie,dj/neet-list.jpg,165069.0
1288506.0,2019-10-26,20,Sacré Laurence Guy,dj/laurenceguy-list.jpg,165069.0
1288507.0,2019-10-25,17,Sacré Lamache all Night Long,dj/lamache-list.jpg,165069.0
1397147.0,2019-10-23,1,Sacré Tremplin,2020/10/fr-1023-1397147-list.jpg,165069.0
1294510.0,2019-10-19,16,Sacré Genius Of Time,dj/geniusoftime-list.jpg,165069.0
1288495.0,2019-10-18,38,Sacré Romare,dj/romare-list.jpg,165069.0
1329332.0,2019-10-17,4,Sacré Glittoris,2019/10/fr-1017-1329332-list.jpg,165069.0
1322658.0,2019-10-12,7,"Sacré C'est qui, Rafaël Murillo et Soulist",dj/cestqui-list.jpg,165069.0
1288494.0,2019-10-11,48,Sacré Lil Louis et Paul Cut,dj/lil-louis-list.jpg,165069.0
1329331.0,2019-10-10,1,Sacré The Collective,2019/10/fr-1010-1329331-list.jpg,165069.0
1322662.0,2019-10-05,5,Sacré Motown Party Marzattack,dj/djreverendp-list.jpg,165069.0
1294509.0,2019-10-04,13,Sacré Popcorn Records Label Night,dj/leo-list.jpg,165069.0
1322668.0,2019-10-03,5,"Tropical Club - Glitter, Manaré, Dj 55 Shades of Love & More",dj/manare-list.jpg,165069.0
1322673.0,2019-09-28,6,Sacré Boston Bun & Friends,dj/bostonbun-list.jpg,165069.0
1288504.0,2019-09-27,6,Sacré Mountain People,dj/mountainpeople-list.jpg,165069.0
1322671.0,2019-09-26,3,General POP Party,2019/9/fr-0926-1322671-list.jpg,165069.0
1310622.0,2019-09-25,8,"Pew IN - Avant Garde: Darzack, U.R.Trax, Kabylie Minogue, Boe Strummer, Spiel",2019/9/fr-0925-1310622-list.jpg,165069.0
1294508.0,2019-09-21,3,Sacré Moonrise Hill Material,dj/ethyene-list.jpg,165069.0
1288499.0,2019-09-20,9,Sacré Mafalda,dj/mafalda-list.jpg,165069.0
1317682.0,2019-09-19,4,Ofive Party x Sacré,dj/leo-list.jpg,165069.0
1294505.0,2019-09-14,4,Sacré Pont Neuf Records,dj/tour-maubourg-fr-list.jpg,165069.0
1294504.0,2019-09-13,3,Sacré De La Groove Avec Eli Escobar,dj/eliescobar-list.jpg,165069.0
1301012.0,2019-09-12,24,Mic Mac & HORS-SOL — All Night Long,2019/9/fr-0912-1301012-list.jpg,165069.0
1294503.0,2019-09-07,2,Sacré Motown Party,dj/djreverendp-list.jpg,165069.0
1288496.0,2019-09-06,15,Sacré Janeret all Night Long,dj/janeret-list.jpg,165069.0
